3EP Ltd.
55 Mercer St. Gallery
8BC
A. Contini & Son
Aach, Herbert
Aarons, George Manuel
Abadi, Fritzie
Abbate, Paolo S.
Abbe, Elfriede Martha
Abbenseth, William
Abbey, Edwin Austin
Abbot, Agnes Anne
Abbott, Berenice
Abel, Christine Jeannette
Abel, Donald G.
Abel, Myer
Aber, Ita H.
Abercrombie, Gertrude
Abramowitz, Benjamin
Abrams, Harry N. (Harry Nathan)
Abrams, Ruth
Absolon, John
ACA Galleries
Acconci, Vito Hannibal
Acheson, Alice
Ackerman, James S.
Ackerman, Louise Sloss
Adams Davidson Galleries
Adams, Ansel Easton
Adams, Charles C. (Charles Christopher)
Adams, Clinton
Adams, Dennis
Adams, Doug
Adams, Harriet Dyer
Adams, J. Ottis (John Ottis)
Adams, Kenneth M.
Adams, Mark
Adams, Marta
Adams, Mary E.
Adams, Pat
Adams, Philip Rhys
Addison Gallery of American Art
Adelman, Seymour
Aderente, Vincent
Adler, A. M. (Abraham M.)
Adler, Dankmar
Adler, Lee
Adler, Rachel
Adler, Samuel
Admiral, Virginia H.
Adomeit, George G.
Adomeit, Ruth E.
Afro-American Historical and Cultural Museum (Philadelphia, Pa.)
Agne, Phyllis
Agoos, Peter
Agostini, Marina
Agostini, Peter
Ahl family
Ahlander, Leslie Judd
Ahlskog, Sirkka
Aiken, Charles Avery
Aiken, Charlotte C.
Aitken, Robert Ingersoll
Ajay, Abe
Akers, Adela
Akers, Benjamin Paul
Alajalov, Constantin
Alan Gallery (New York, N.Y.)
Alan, Charles
Albee, Grace
Albers, Anni
Albers, Josef
Albert, Agnes
Albert, Calvin
Alberts, Arthur S.
Albinson, Dewey
Albrecht, Mary Dickson
Albright, Edwina
Albright, Ivan
Albro, Maxine
Albuquerque Public Library (N.M.)
Albuquerque United Artists
Albuquerque, Lita
Alcalay, Albert
Aldrich, Larry
Aldrich, Nelson W.
Aldrin, Anders Gustave
Alessandro, Victor
Alexander family
Alexander, Bob
Alexander, Brooke
Alexander, Henry
Alexander, John White
Alexander, Peter
Al-Hilali, Neda
Allan, William George
Allen Memorial Art Museum
Allen, Bardene
Allen, Florence W. (Florence Wysinger)
Allen, Frederick Warren
Allen, Harriet Collins
Allen, James E.
Allen, Jennie
Allen, Jo Harvey
Allen, Mary Cecil
Allen, Sonia
Allen, Terry
Allensworth, Jane
Alliance of Figurative Artists
Allied Artists of America
Allston, Washington
Alluisi, Ella Wharton
Almaraz, Carlos
Alston, Charles Henry
Alten, M. (Mathias)
Alternative Museum (New York, N.Y.)
Altoon, John
Alvarez, Mabel
Amado, Jesse
Amateis, Edmond R. (Edmond Romulus)
Amen, Irving
American Abstract Artists
American Academy in Rome
American Academy of Arts and Letters
American Art Association
American Art Research Council
American Artists' Committee of One Hundred
American Artists Group
American Artists Professional League
American Association of University Women
American Committee of the Statue of Liberty
American Federation of Arts
American Foundation for Transcendental Painting
American Handicraft Council
American Institute of Architects. Philadelphia Chapter
American Museum of Natural History. Dept. of Anthropology
American Philosophical Society
American Society of Contemporary Artists (New York, N.Y.)
American University (Washington, D.C.) Fine Arts Dept
American Water Color Society
American Watercolor Society
Amerine, Wayne
Ames Manufacturing Company. Bronze Foundry
Ames, Arthur Forbes
Ames, Polly Scribner
Ames, Winslow
Amft, Robert
Amon Carter Museum of Western Art
Amos, Emma
Amyx, Clifford
Andersen, Wayne V.
Anderson Galleries, Inc
Anderson, Dale
Anderson, Don
Anderson, Edgar
Anderson, Guy I. (Guy Irving)
Anderson, Joyce
Anderson, Lawrence B. (Lawrence Bernhart)
Anderson, Walter Inglis
Andrade, Edna
André Emmerich Gallery
Andre, Carl
Andreson, Laura F.
Andrews, Benny
Andrews, Faith
Andrews, Oliver
Andrews, Wayne
Andrus, Vera Eugenia
Angarola, Anthony
Angel, John
Angel, Rifka
Anisfeld, Boris Israelevich
Ankrum Gallery
Ankrum, Joan
Anneberg Gallery
Anshutz, Thomas Pollock
Anthony, Alfred Williams
Anthony, William Graham
Antin, Eleanor
Antonakos, Stephen
Antreasian, Garo Z. (Garo Zareh)
Anuszkiewicz, Richard
Apostol, Jane
Appelton, Marie
Arberg, Harold
Archambault, Anna Margaretta
Archer M. Huntington Art Gallery
Archipenko, Alexander
Architectural Digest
Architectural League of New York
Architectural Panel (Los Angeles, Calif.)
Archives of American Art
Archives of American Art. Texas Arts Documentation Project
Archives of San Diego Oral History Project
ARCO Center for Visual Art
Area Gallery (New York, N.Y.)
Area X Gallery (New York, N.Y.)
Arensberg, Walter
Argosy Book Shop
Argus Gallery (Madison, N.J.)
Arient, Beth
Arient, James
Arman
Armer, Ruth
Armin, Emil
Armitage, Merle
Arms, John Taylor
Armstrong, Martha
Arnason, H. Harvard
Arnautoff, Victor Michail
Arneson, Robert
Arnheim, Rudolf
Arning, Eddie
Arnold Herstand & Company
Arnold, Florence M. (Florence Millner)
Arnold, Sallie Curb
Aronson, David
Arp, August
Arquin, Florence
Art 21, Inc
Art Center (Waco, Tex.)
Art Club of Philadelphia
Art Collectors Club of America (Buffalo, N.Y.)
Art in focus (periodical)
Art Information Center (New York, N.Y.)
Art League of Houston
Art League Publishing Co. (Chicago, Ill.)
Art Matters, Inc
Art outlook (periodical)
Art Space (Gallery : Los Angeles, Calif.)
Art Students League (New York, N.Y.)
Artfellows Cooperative Gallery
Arthur U. Newton Galleries
Artist Tenants Association (New York, N.Y.)
Artists Committee of Western New York
Artists Equity Association.
Artists Equity Association. D.C. Chapter
Artists' Fellowship Inc.
Artists for Victory, Inc
Artists' Fund Society
Artists' Gallery (New York, N.Y)
Artists in Residence (Gallery: New York, N.Y.)
Artists Representing Environmental Arts (New York, N.Y.)
Artists' Union (New York, N.Y.)
Arts & Architecture
Arts Club of Washington (Washington, D.C.)
Arts Council of Metropolitan Detroit (Detroit, Mich.)
Artschwager, Richard Ernst
ArtTable, Inc.
Art-Union of Philadelphia
Arwin Galleries (Detroit, Mich.)
Asawa, Ruth
Aschenbach, Paul
Ascher, Mary G. (Mary Goldman)
Ashby, Carl
Ashcroft, James W.
Asher, Betty M.
Asher, Elise
Ashley, Clifford W. (Clifford Warren)
Ashton, Dore
Asia Society
Askew, R. Kirk (Ralph Kirk)
Askin, Walter Miller
Asplund, Tore
Associated American Artists
Asure, Robert
Atchison, Joseph Anthony
Athena Art Society (Toledo, Oh.)
Atkins, Arthur
Atkinson, Ti-Grace
Aubi, Eileen
Aucello, Salvatore L.
Audubon Artists (New York, N.Y.)
Audubon, John James
Audubon, Victor Gifford
Auer, James Matthew
Ault, George
Austin Photographic Cooperative
Autio, Rudy
Avalos, David
Avanti Galleries
Avery, Milton
Avery, Sally Michel
Avery, Samuel Putnam
Aycock, Alice
Ayer, Richard Gentry
Ayres, Anne
Ayres, Atlee Bernard
B. R. Kornblatt Gallery
B.C. Holland Gallery
Baasch, Merle D.
Babcock, Margaret Meras
Babcock, Paul G.
Baber, Alice
Babitz, Eve
Baca, Judith Francisca
Bacardi Gallery
Bacerra, Ralph C.
Bachardy, Don
Bacher, Otto H. (Otto Henry)
Bachert, Hildegard
Backlin-Landman, Hedy
Bacon, Henry
Bacon, Peggy
Bader, Franz
Baer, Martin
Baer, William J. (William Jacob)
Baigell, Matthew
Bailey, Clayton
Bailey, Vernon Howe
Bain, Sherwood E.
Baizerman, Saul L.
Baker, Adelaide Lovett
Baker, Bryant
Baker, Dina Gustin
Baker, Jacob
Baker, Mildred
Baker, Oliver
Baker, Patty
Baker, Richard Brown
Baker, Roger
Baker, Sarah Marindah
Bakós, Józef
Balay, Roland
Baldessari, John
Baldwin, Calvin Benham
Baldwin, Elizabeth Teresa Daniels
Balink, Henry C.
Ball, Caroline Peddle
Ball, Fred Uhl
Ball, Thomas
Ballin, Samuel Ross
Bally, Boris
Baltimore Museum of Art
Baltz, Lewis
Banks, Bernice Fisher
Bannister, Edward Mitchell
Banvard, John
Baranceanu, Belle Goldschlager
Baranik, Rudolf
Barbara Gladstone Gallery
Barbara Mathes Gallery (New York, N.Y.)
Barbarossa, Theodore
Barber, John
Barber, John Warner
Barboza, Anthony,
Barcus, Frank
Bard, Joellen
Bard, Philip
Bardin, Ruth Jonas
Barela, Patrociño
Barile, Xavier J.
Barker, Albert W. (Albert Winslow)
Barker, Augusta
Barker, Burt Brown
Barker, Lucy Hayward
Barn Gallery Associates (Ogunquit, Me.)
Barnard, Charles F. (Charles Francis)
Barnard, George Grey
Barnas, Carl Franz Joseph
Barnes, Burt
Barnes, Dorothy Gill
Barnes, Ernest Harrison
Barnes, Florence Maiullo
Barnet, Peter
Barnet, Will
Barnett, Herbert
Barnett, Virginia
Barnhardt, Harry
Barnstone, Gertrude Levy
Baron, Herman
